A1A,A2A,A3A,A4A,A4B,A3B,A2B,A1B,B1A,B2A,B3A,B4A,B4B,B3B,B2B,B1B,timestamp
1.4619162514274758e-07,9.834313461128106e-07,8.76803363824892e-07,3.4625659080956945e-06,1.2576163689097605e-06,1.991374736180157e-06,1.7053489049788477e-06,9.441668420741745e-07,1.079174552886641e-08,4.5114566587401146e-06,7.445247887149909e-06,2.049300169223123e-06,4.208750081944117e-06,2.0536539724875765e-06,3.318569847062709e-06,2.8878943481085584e-07,825342.6522723811
1.1153663319712085e-07,1.8978366407520365e-06,3.812458775538354e-07,8.159064100880936e-06,3.40700953658466e-06,3.570932861530138e-06,4.1968897284363495e-06,1.6308226450199964e-07,2.010215667755426e-08,1.192627000809392e-05,1.4803648988832767e-05,4.520664826028657e-06,6.838490821812507e-06,1.9804367744725414e-06,3.622134245897536e-06,4.5776589493859396e-07,825347.3797893957
8.879444996894612e-08,9.080880724173778e-06,5.411145727362115e-07,1.61451011337335e-05,4.163304946744999e-06,1.0131370104415012e-05,1.1337818426666021e-05,6.257184624187541e-07,1.790394934787306e-08,8.687270778316707e-06,4.919786054847797e-06,4.7349220494784694e-06,7.313412438352503e-06,9.817966452410064e-07,9.63348415664546e-06,2.864097021986539e-07,825352.1174615104
1.1363136029569505e-07,5.0018236278656435e-06,3.6631620080757474e-06,2.9387417144462007e-06,2.6183598035311817e-06,1.0662698657142797e-05,8.693278188143436e-06,1.2253162955874083e-06,1.798856105188087e-08,9.162090102753215e-06,8.483077813025907e-06,2.2198131468936235e-06,4.453158244874491e-06,2.080481879331832e-06,8.070619931332111e-06,4.551232653920381e-07,825356.872334925
6.757124631563196e-08,1.4422920499043424e-06,2.2472727756384618e-06,5.792914583438142e-06,2.7521891156866e-06,4.780458581523341e-06,1.0159051801512982e-05,1.1473431996090397e-06,1.693144872273595e-08,8.864370356176696e-06,1.4692053672719754e-05,4.845051477050411e-06,4.87307949923594e-06,5.035775454205141e-06,1.0573230662336249e-05,5.575021562878447e-07,825361.6321253397
9.226767505886047e-08,2.3541076796176167e-06,1.6009405551085731e-06,1.3191805880979379e-06,1.4485824138983583e-06,2.662589012631231e-06,8.551677386907485e-07,4.0194389256256984e-07,2.244182135350277e-08,2.18465559727656e-06,1.9903324546680807e-06,2.926748623596731e-06,3.3025811662963345e-06,1.0128236352389716e-06,2.0565986888991672e-06,3.456457135917689e-07,825366.3710183543
1.1468111086977715e-07,8.304713319070321e-07,1.3082566565533693e-06,1.2437232720319763e-06,2.2845156351248323e-06,2.9743437188919808e-06,4.021007922293238e-06,6.578006096232231e-07,2.4019502544160944e-08,3.4029168747808908e-06,4.971753133926698e-06,1.8259379287254533e-06,3.6899447475120266e-06,1.9430471439509663e-06,4.3524832765141746e-06,8.15285637286193e-07,825371.0883254689
8.936512696033066e-08,1.4401797089926782e-06,5.958440699223424e-07,5.483969204372823e-07,1.4727434700831151e-06,1.6875545791183278e-06,1.3215313893690785e-06,3.224060406974774e-07,1.8665621165509197e-08,1.3379264934356896e-06,1.2488414103351155e-06,3.71447484761536e-06,1.4682595191502511e-06,2.6194997463330913e-06,5.412311807121453e-07,5.892108628709985e-08,825375.8282650835
5.92973907561973e-07,2.5715274321246683e-06,2.515479570368317e-06,5.920050125233757e-07,3.761461408268916e-06,6.58972479257511e-07,6.978642044852909e-07,3.930354722755424e-07,1.7249267753313768e-08,6.608975676963017e-07,5.979203147713643e-07,2.8104884028713416e-06,1.2266783612418641e-06,7.995557534127888e-07,7.336305304279573e-07,4.69078714172028e-07,825380.544156398
3.0815342656407916e-07,2.274286420126169e-06,1.9063156366506533e-06,4.30289605316868e-06,1.3539274647228075e-06,1.6173914980869151e-06,7.005610133524337e-07,3.7321811468707955e-07,1.6718375577892806e-08,4.569945923348223e-07,1.8184017140720413e-06,9.522736679115083e-07,2.5851114786151877e-06,1.8164121456941875e-06,7.796338661614582e-07,4.328917445658106e-07,825385.2973521127
