A1A,A2A,A3A,A4A,A4B,A3B,A2B,A1B,B1A,B2A,B3A,B4A,B4B,B3B,B2B,B1B,timestamp
7.646203409624938e-09,3.5543819120088717e-07,1.070734262135728e-06,3.110456599387881e-06,1.3873809659130845e-06,2.2441149112651225e-09,1.5714090895653222e-06,8.886851191380463e-07,5.505945009605687e-08,9.444528615585009e-07,1.8574704855519425e-06,2.13010306460557e-06,1.4007239196502355e-06,4.4660429166572945e-06,2.896325665876196e-06,4.177200425821493e-08,831942.6118919407
1.2616003246863725e-08,1.0192567112852137e-06,1.3315764446800122e-06,1.8923823591206975e-06,7.078078234842621e-07,1.8785945867139e-09,4.780857546512274e-06,3.1103807535052804e-06,4.294519863233435e-08,6.467963922336451e-07,1.0475441454145562e-06,1.8181558648236853e-06,3.1108465060497753e-06,2.8790135411508208e-06,1.5839359799624255e-06,2.012137359705168e-08,831947.4781326179
3.2268946451374526e-08,1.6681478844264494e-07,1.2553846261952945e-06,2.482931656688082e-06,1.18468559819332e-06,2.217615065399491e-09,4.464359346484889e-06,1.2852940152102181e-06,2.8228774193266675e-08,1.0081885125644231e-06,8.040028656229806e-07,2.2091337093085834e-06,2.634334902578885e-06,3.278752403838014e-06,3.7417198737860717e-06,4.8060663604361486e-08,831952.3494326951
6.59452625171034e-08,2.063811721805935e-06,1.911820478205622e-06,8.27083871597658e-06,6.615227839509713e-06,2.111149092710636e-08,4.165944561497169e-06,2.727980266331463e-06,6.104315964936851e-08,1.2976410098342026e-06,6.853306487658398e-07,3.6067561117991896e-06,1.4302270709276968e-06,6.648410067441466e-06,1.6803598285379117e-06,2.406568420036657e-08,831957.2232304721
1.3989257670128941e-08,3.9480456891337364e-07,3.1946919420142868e-06,2.6374958281959605e-06,9.593270864212512e-07,8.336012100292974e-09,5.824274377147054e-06,1.5640807026474598e-06,1.0956433994966483e-07,6.342722515767646e-07,1.6813218746478411e-06,2.4346373173369015e-06,2.0272744420595895e-06,4.198170566045822e-06,4.187807949890377e-06,5.8464190534105056e-08,831962.0851957494
2.1804741973188052e-08,9.890808629161248e-07,4.006873033914749e-06,1.7569001660434228e-06,4.375050279167392e-06,4.922997683230731e-09,5.4400445269802276e-06,5.380891561004286e-06,1.5984536639844072e-07,3.306189815033842e-06,6.652924192685077e-06,9.456725251722737e-06,2.9267838654431557e-06,6.3490395295621066e-06,2.321179336468522e-06,2.9219771338758287e-08,831966.9569618265
3.976903082678078e-08,4.0793040500757757e-07,2.814505946614348e-06,6.781337902512271e-06,3.952959228750235e-06,1.6208375955729862e-08,4.83310513669206e-06,1.8115034261216207e-06,8.329973489374045e-08,2.9638386680261487e-06,1.8969769870086936e-06,2.151115630505306e-06,5.65277881316129e-06,3.2321747904793304e-06,9.908095685406918e-06,1.1815488277808534e-07,831971.8073718038
2.587635718150684e-08,4.0063810601636667e-07,1.9077338963835053e-06,3.4817946986951687e-06,2.078769344129077e-06,6.274474707055449e-09,2.2839875506443977e-06,2.2971497624982657e-06,3.9136724149140724e-08,1.2483168268227075e-06,7.251456128013004e-07,5.199380749580643e-06,2.2663641033061795e-06,6.56017019736005e-06,2.366520192658006e-06,2.8598440212384324e-08,831976.6932267809
1.5336100484916057e-08,1.8739559900339112e-07,1.8524397594782953e-06,9.76763599894768e-06,8.579802074285063e-07,5.510456182992519e-09,2.13165048805349e-06,1.62692574194021e-06,2.405932685651031e-08,1.1926919666655001e-06,1.4210853526096181e-06,3.216285325865829e-06,2.724559958255175e-06,2.116896493206631e-06,1.972328242310467e-06,2.5333661917886944e-08,831981.558366458
2.5387350292909995e-08,5.642179162329121e-07,2.035910974784833e-06,2.5383133865782406e-06,2.148565381694153e-06,1.234136012148007e-09,1.2103691304881736e-06,4.841790909585669e-07,5.962943150219083e-08,4.722336758916076e-07,1.440779322221802e-06,2.717273762272441e-06,2.8928825133560624e-06,2.1298143708539775e-06,2.64832587634213e-06,3.4341004390302853e-08,831986.4444177352
3.541803777040079e-08,3.126536339703666e-07,1.309514215177609e-06,3.2039984892250372e-06,2.429014246626349e-06,1.0489434853208412e-09,1.3528987629287523e-06,8.986368514098635e-07,5.208636093278892e-08,1.05376375672692e-06,1.5588174247715974e-06,1.7041837657681928e-06,1.5599439402192704e-06,7.886270574992726e-07,1.8497199157807833e-06,2.3762821900021193e-08,831991.3164404123
1.1067487776321095e-08,1.7843099072406238e-07,4.1090108599209557e-07,1.1344257326254481e-06,3.4000517426582287e-07,1.4876359369904325e-09,2.5374279946954286e-06,3.3752759207831474e-07,6.958407910367563e-08,1.4330050221151536e-06,7.207546475552596e-07,2.477262716140735e-06,1.3137755510949136e-06,3.3969387985642336e-06,1.4656692045082264e-06,2.203351509686502e-08,831996.1985295895
3.305399346386587e-08,1.0657490343008312e-06,8.914281327092294e-07,1.3246760822723267e-06,1.8165242305637336e-06,3.1086648088569816e-09,3.2772990201070664e-06,1.7216312740891446e-06,5.560761529350248e-08,1.1298839344445137e-06,2.295390631533489e-06,1.8092215377204564e-06,3.3367575707927106e-06,3.6387183985749685e-06,2.8393235419117452e-06,3.685219198253018e-08,832001.0970278664
6.946271298530815e-09,3.715136884076408e-07,8.27363920057273e-06,1.0512683237712828e-06,1.5699008973365664e-06,5.707154641537821e-09,1.7582611551220413e-06,6.075593868677357e-07,5.389264458331537e-08,4.733947403908063e-07,1.167134812280639e-06,1.6443097055859732e-06,2.867766753409053e-06,1.8997924505205838e-06,2.562023170790032e-06,3.393960446897044e-08,832005.9887722435
2.4733763818881912e-08,1.0871656591605759e-07,1.951038805377478e-07,4.487767146399859e-06,8.996760346314708e-07,3.0617549006538085e-09,8.638475275794521e-06,1.5797622338614785e-06,3.962132111748374e-08,5.398308783350564e-07,1.0454227573792093e-06,3.1380979438328967e-06,2.8690256700260544e-06,4.539151365206424e-06,3.1464768289702166e-06,4.2967684413911256e-08,832010.8649741206
4.074600702227558e-09,2.2884982500493504e-07,1.4080850525763014e-06,2.8782969214525877e-06,9.59699943434077e-07,4.829188158267467e-09,1.4982073971476532e-06,3.494093601977082e-07,3.384827926164659e-08,1.2988590373043647e-06,1.716184380600819e-06,2.860549196256899e-06,2.699843981994865e-06,1.3105406249041797e-06,1.6904645435064969e-06,2.5636225088836188e-08,832015.7560438977
6.042486939417982e-08,6.787163276220294e-07,1.3334138680157338e-06,6.563876778593325e-07,6.262337941173197e-07,1.4768354463703342e-09,3.4603865971055872e-06,1.2726494143369167e-06,4.909273082044461e-08,1.1540727716559462e-06,5.386784534196878e-07,2.2453492019185094e-06,2.3319239778496292e-06,3.996381795079315e-06,3.1060535391729073e-06,4.3115874205193566e-08,832020.6393371748
